experiment,model_name,rank,likelihood,viability,sparcity,similarity,feasibility,delta,cf_num_zeros,result_outcome,source_outcome,target_outcome,cf,fa,run.duration_sec,run.mask,run.short_name,run.full_name,run.no,wrapper.type,wrapper.max_len,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,gen.max_iter,gen.num_survivors,gen.sample_size,gen.evo.num_survivors,gen.initiator.type,gen.selector.type,gen.crosser.type,gen.crosser.crossover_rate,gen.mutator.type,gen.mutator.edit_rate,gen.mutator.p_delete,gen.mutator.p_insert,gen.mutator.p_change,gen.mutator.p_transp,gen.recombiner.type,gen.recombiner.recombination_rate,viab.data_distribution,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.no,iteration.no,row.no
1,EvolutionaryStrategy,50,0.9731384515762329,2.6060103580571656,0.8791208791208791,0.8963322541565886,0.15167158606586098,0.6788856387138367,22,1,1,0,24 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 24 > 01 > 02 > 10,24 > 01 > 02 > 03 > 09 > 09 > 04 > 05 > 06 > 07,2896.03191280365,1111,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,27,26,27,7,1,EvolutionaryStrategy,300,1000,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,32346,26,27,1111,ImprovementMeasure,1,1,1
1,EvolutionaryStrategy,13,0.9731384515762329,2.6060103580571656,0.8791208791208791,0.8963322541565886,0.15167158606586098,0.6788856387138367,22,1,1,0,24 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 24 > 01 > 02 > 10,24 > 01 > 02 > 03 > 09 > 09 > 04 > 05 > 06 > 07,2896.03191280365,1111,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,27,26,27,7,1,EvolutionaryStrategy,300,1000,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,32346,26,27,1111,ImprovementMeasure,1,1,2
1,EvolutionaryStrategy,23,0.9731384515762329,2.6060103580571656,0.8791208791208791,0.8963322541565886,0.15167158606586098,0.6788856387138367,22,1,1,0,24 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 24 > 01 > 02 > 10,24 > 01 > 02 > 03 > 09 > 09 > 04 > 05 > 06 > 07,2896.03191280365,1111,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,27,26,27,7,1,EvolutionaryStrategy,300,1000,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,32346,26,27,1111,ImprovementMeasure,1,1,3
1,EvolutionaryStrategy,22,0.9731384515762329,2.6060103580571656,0.8791208791208791,0.8963322541565886,0.15167158606586098,0.6788856387138367,22,1,1,0,24 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 24 > 01 > 02 > 10,24 > 01 > 02 > 03 > 09 > 09 > 04 > 05 > 06 > 07,2896.03191280365,1111,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,27,26,27,7,1,EvolutionaryStrategy,300,1000,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,32346,26,27,1111,ImprovementMeasure,1,1,4
1,EvolutionaryStrategy,21,0.9731384515762329,2.6060103580571656,0.8791208791208791,0.8963322541565886,0.15167158606586098,0.6788856387138367,22,1,1,0,24 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 24 > 01 > 02 > 10,24 > 01 > 02 > 03 > 09 > 09 > 04 > 05 > 06 > 07,2896.03191280365,1111,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,27,26,27,7,1,EvolutionaryStrategy,300,1000,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,32346,26,27,1111,ImprovementMeasure,1,1,5
1,EvolutionaryStrategy,20,0.9731384515762329,2.6060103580571656,0.8791208791208791,0.8963322541565886,0.15167158606586098,0.6788856387138367,22,1,1,0,24 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 24 > 01 > 02 > 10,24 > 01 > 02 > 03 > 09 > 09 > 04 > 05 > 06 > 07,2896.03191280365,1111,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,27,26,27,7,1,EvolutionaryStrategy,300,1000,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,32346,26,27,1111,ImprovementMeasure,1,1,6
1,EvolutionaryStrategy,19,0.9731384515762329,2.6060103580571656,0.8791208791208791,0.8963322541565886,0.15167158606586098,0.6788856387138367,22,1,1,0,24 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 24 > 01 > 02 > 10,24 > 01 > 02 > 03 > 09 > 09 > 04 > 05 > 06 > 07,2896.03191280365,1111,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,27,26,27,7,1,EvolutionaryStrategy,300,1000,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,32346,26,27,1111,ImprovementMeasure,1,1,7
1,EvolutionaryStrategy,18,0.9731384515762329,2.6060103580571656,0.8791208791208791,0.8963322541565886,0.15167158606586098,0.6788856387138367,22,1,1,0,24 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 24 > 01 > 02 > 10,24 > 01 > 02 > 03 > 09 > 09 > 04 > 05 > 06 > 07,2896.03191280365,1111,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,27,26,27,7,1,EvolutionaryStrategy,300,1000,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,32346,26,27,1111,ImprovementMeasure,1,1,8
1,EvolutionaryStrategy,17,0.9731384515762329,2.6060103580571656,0.8791208791208791,0.8963322541565886,0.15167158606586098,0.6788856387138367,22,1,1,0,24 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 24 > 01 > 02 > 10,24 > 01 > 02 > 03 > 09 > 09 > 04 > 05 > 06 > 07,2896.03191280365,1111,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,27,26,27,7,1,EvolutionaryStrategy,300,1000,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,32346,26,27,1111,ImprovementMeasure,1,1,9
1,EvolutionaryStrategy,16,0.9731384515762329,2.6060103580571656,0.8791208791208791,0.8963322541565886,0.15167158606586098,0.6788856387138367,22,1,1,0,24 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 24 > 01 > 02 > 10,24 > 01 > 02 > 03 > 09 > 09 > 04 > 05 > 06 > 07,2896.03191280365,1111,ES_EGW_CBI_RWS_OPC_SBM_FSR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_RouletteWheelSelector_OnePointCrosser_SamplingBasedMutator_FittestSurvivorRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,27,26,27,7,1,EvolutionaryStrategy,300,1000,100,1000,CaseBasedInitiator,RouletteWheelSelector,OnePointCrosser,,SamplingBasedMutator,,0.01,0.01,0.01,0.01,FittestSurvivorRecombiner,,32346,26,27,1111,ImprovementMeasure,1,1,10
