experiment,reader,max_len,virtual_max_len,model_name,rank,likelihood,viability,sparcity,similarity,feasibility,delta,cf_num_zeros,result_outcome,source_outcome,target_outcome,cf,fa,run.duration_sec,run.mask,run.short_name,run.full_name,run.no,wrapper.type,wrapper.max_len,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,viab.data_distribution,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.no,iteration.no,row.no
1,OutcomeBPIC12Reader25,27,27,SamplingBasedGenerator,50,0.373963326215744,1.9328583894672298,0.7472527472527473,0.8525747925187095,5.672930406916513e-13,0.3330308496952057,23,0,1,0,24 > 01 > 02 > 03,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09,24.849950313568115,1111,SBG_SBGW_IM,SamplingBasedGenerator_SamplingBasedGeneratorWrapper_ImprovementMeasure,1,SamplingBasedGeneratorWrapper,27,26,27,21,1,SamplingBasedGenerator,32346,26,27,1111,ImprovementMeasure,1,1,1
1,OutcomeBPIC12Reader25,27,27,SamplingBasedGenerator,49,0.37441420555114746,1.9329404928431615,0.7472527472527473,0.8523563096715181,8.810710302058384e-14,0.333331435918808,23,0,1,0,24 > 01 > 02 > 03,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09,24.849950313568115,1111,SBG_SBGW_IM,SamplingBasedGenerator_SamplingBasedGeneratorWrapper_ImprovementMeasure,1,SamplingBasedGeneratorWrapper,27,26,27,21,1,SamplingBasedGenerator,32346,26,27,1111,ImprovementMeasure,1,1,2
1,OutcomeBPIC12Reader25,27,27,SamplingBasedGenerator,48,0.37364518642425537,1.9329866396762858,0.7472527472527473,0.852915116054245,1.9874147785602513e-13,0.33281877636909485,23,0,1,0,24 > 01 > 02 > 03,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09,24.849950313568115,1111,SBG_SBGW_IM,SamplingBasedGenerator_SamplingBasedGeneratorWrapper_ImprovementMeasure,1,SamplingBasedGeneratorWrapper,27,26,27,21,1,SamplingBasedGenerator,32346,26,27,1111,ImprovementMeasure,1,1,3
1,OutcomeBPIC12Reader25,27,27,SamplingBasedGenerator,47,0.373771071434021,1.9334281448439399,0.7472527472527473,0.8532726978821035,1.504707619196909e-13,0.3329026997089386,23,0,1,0,24 > 01 > 02 > 03,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09,24.849950313568115,1111,SBG_SBGW_IM,SamplingBasedGenerator_SamplingBasedGeneratorWrapper_ImprovementMeasure,1,SamplingBasedGeneratorWrapper,27,26,27,21,1,SamplingBasedGenerator,32346,26,27,1111,ImprovementMeasure,1,1,4
1,OutcomeBPIC12Reader25,27,27,SamplingBasedGenerator,46,0.3735945224761963,1.9340841460693714,0.7472527472527473,0.8540464182801564,9.605686052772348e-13,0.3327849805355072,23,0,1,0,24 > 01 > 02 > 03,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09,24.849950313568115,1111,SBG_SBGW_IM,SamplingBasedGenerator_SamplingBasedGeneratorWrapper_ImprovementMeasure,1,SamplingBasedGeneratorWrapper,27,26,27,21,1,SamplingBasedGenerator,32346,26,27,1111,ImprovementMeasure,1,1,5
1,OutcomeBPIC12Reader25,27,27,SamplingBasedGenerator,45,0.37432560324668884,1.9341238523968485,0.7472527472527473,0.8535987374282568,8.771319453536436e-15,0.33327236771583557,23,0,1,0,24 > 01 > 02 > 03,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09,24.849950313568115,1111,SBG_SBGW_IM,SamplingBasedGenerator_SamplingBasedGeneratorWrapper_ImprovementMeasure,1,SamplingBasedGeneratorWrapper,27,26,27,21,1,SamplingBasedGenerator,32346,26,27,1111,ImprovementMeasure,1,1,6
1,OutcomeBPIC12Reader25,27,27,SamplingBasedGenerator,44,0.3771364390850067,1.9352567590965646,0.7472527472527473,0.852857733700688,2.002470365577584e-13,0.3351462781429291,23,0,1,0,24 > 01 > 02 > 03,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09,24.849950313568115,1111,SBG_SBGW_IM,SamplingBasedGenerator_SamplingBasedGeneratorWrapper_ImprovementMeasure,1,SamplingBasedGeneratorWrapper,27,26,27,21,1,SamplingBasedGenerator,32346,26,27,1111,ImprovementMeasure,1,1,7
1,OutcomeBPIC12Reader25,27,27,SamplingBasedGenerator,43,0.38556987047195435,1.9419622959779868,0.7472527472527473,0.8539409730567744,1.3010220047149565e-13,0.34076857566833496,23,0,1,0,24 > 01 > 02 > 03,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09,24.849950313568115,1111,SBG_SBGW_IM,SamplingBasedGenerator_SamplingBasedGeneratorWrapper_ImprovementMeasure,1,SamplingBasedGeneratorWrapper,27,26,27,21,1,SamplingBasedGenerator,32346,26,27,1111,ImprovementMeasure,1,1,8
1,OutcomeBPIC12Reader25,27,27,SamplingBasedGenerator,42,0.45924440026283264,1.9788193980944522,0.7472527472527473,0.8416817319134318,1.2684035382109227e-13,0.38988491892814636,23,0,1,0,24 > 01 > 02 > 03,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09,24.849950313568115,1111,SBG_SBGW_IM,SamplingBasedGenerator_SamplingBasedGeneratorWrapper_ImprovementMeasure,1,SamplingBasedGeneratorWrapper,27,26,27,21,1,SamplingBasedGenerator,32346,26,27,1111,ImprovementMeasure,1,1,9
1,OutcomeBPIC12Reader25,27,27,SamplingBasedGenerator,41,0.45924505591392517,1.9798558485207673,0.7472527472527473,0.8427177651069688,3.9151960429696014e-13,0.3898853361606598,23,0,1,0,24 > 01 > 02 > 03,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09,24.849950313568115,1111,SBG_SBGW_IM,SamplingBasedGenerator_SamplingBasedGeneratorWrapper_ImprovementMeasure,1,SamplingBasedGeneratorWrapper,27,26,27,21,1,SamplingBasedGenerator,32346,26,27,1111,ImprovementMeasure,1,1,10
1,OutcomeBPIC12Reader25,27,27,SamplingBasedGenerator,40,0.45956000685691833,1.9804180897358796,0.7472527472527473,0.8430700191578349,1.093953264412451e-12,0.3900953233242035,23,0,1,0,24 > 01 > 02 > 03,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09,24.849950313568115,1111,SBG_SBGW_IM,SamplingBasedGenerator_SamplingBasedGeneratorWrapper_ImprovementMeasure,1,SamplingBasedGeneratorWrapper,27,26,27,21,1,SamplingBasedGenerator,32346,26,27,1111,ImprovementMeasure,1,1,11
1,OutcomeBPIC12Reader25,27,27,SamplingBasedGenerator,39,0.45845791697502136,1.9810940134412216,0.7472527472527473,0.8444806893201773,2.397217630565183e-13,0.38936057686805725,23,0,1,0,24 > 01 > 02 > 03,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09,24.849950313568115,1111,SBG_SBGW_IM,SamplingBasedGenerator_SamplingBasedGeneratorWrapper_ImprovementMeasure,1,SamplingBasedGeneratorWrapper,27,26,27,21,1,SamplingBasedGenerator,32346,26,27,1111,ImprovementMeasure,1,1,12
1,OutcomeBPIC12Reader25,27,27,SamplingBasedGenerator,38,0.4592445194721222,1.9814925843566125,0.7472527472527473,0.8443548585709406,1.333961475107261e-13,0.38988497853279114,23,0,1,0,24 > 01 > 02 > 03,24 > 01 > 02 > 03 > 04 > 05 > 06 > 07 > 08 > 09,24.849950313568115,1111,SBG_SBGW_IM,SamplingBasedGenerator_SamplingBasedGeneratorWrapper_ImprovementMeasure,1,SamplingBasedGeneratorWrapper,27,26,27,21,1,SamplingBasedGenerator,32346,26,27,1111,ImprovementMeasure,1,1,13
