Column1,model_name,instance_num,rank,likelihood,outcome,viability,sparcity,similarity,dllh,ollh,mask,cf_ev_str,fa_ev_str
0,SimpleVAEGeneratorWrapper_top50,0,50,0.999528527,1,-0.385900778,0.176470588,0.436779148,0,-0.999150515,1111,14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14,37 > 01 > 02 > 03 > 04 > 05 > 12 > 05 > 12 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 28 > 27 > 16 > 28 > 17 > 24 > 25 > 22
1,SimpleVAEGeneratorWrapper_top50,0,49,0.999528527,1,-0.385900778,0.176470588,0.436779148,0,-0.999150515,1111,14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14,37 > 01 > 02 > 03 > 04 > 05 > 12 > 05 > 12 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 28 > 27 > 16 > 28 > 17 > 24 > 25 > 22
2,SimpleVAEGeneratorWrapper_top50,0,13,0.999528527,1,-0.385900778,0.176470588,0.436779148,0,-0.999150515,1111,14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14,37 > 01 > 02 > 03 > 04 > 05 > 12 > 05 > 12 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 28 > 27 > 16 > 28 > 17 > 24 > 25 > 22
3,SimpleVAEGeneratorWrapper_top50,0,23,0.999528527,1,-0.385900778,0.176470588,0.436779148,0,-0.999150515,1111,14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14,37 > 01 > 02 > 03 > 04 > 05 > 12 > 05 > 12 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 28 > 27 > 16 > 28 > 17 > 24 > 25 > 22
4,SimpleVAEGeneratorWrapper_top50,0,22,0.999528527,1,-0.385900778,0.176470588,0.436779148,0,-0.999150515,1111,14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14,37 > 01 > 02 > 03 > 04 > 05 > 12 > 05 > 12 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 28 > 27 > 16 > 28 > 17 > 24 > 25 > 22
5,SimpleVAEGeneratorWrapper_top50,0,21,0.999528527,1,-0.385900778,0.176470588,0.436779148,0,-0.999150515,1111,14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14,37 > 01 > 02 > 03 > 04 > 05 > 12 > 05 > 12 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 28 > 27 > 16 > 28 > 17 > 24 > 25 > 22
6,SimpleVAEGeneratorWrapper_top50,0,20,0.999528527,1,-0.385900778,0.176470588,0.436779148,0,-0.999150515,1111,14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14,37 > 01 > 02 > 03 > 04 > 05 > 12 > 05 > 12 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 28 > 27 > 16 > 28 > 17 > 24 > 25 > 22
7,SimpleVAEGeneratorWrapper_top50,0,19,0.999528527,1,-0.385900778,0.176470588,0.436779148,0,-0.999150515,1111,14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14,37 > 01 > 02 > 03 > 04 > 05 > 12 > 05 > 12 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 28 > 27 > 16 > 28 > 17 > 24 > 25 > 22
8,SimpleVAEGeneratorWrapper_top50,0,18,0.999528527,1,-0.385900778,0.176470588,0.436779148,0,-0.999150515,1111,14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14,37 > 01 > 02 > 03 > 04 > 05 > 12 > 05 > 12 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 28 > 27 > 16 > 28 > 17 > 24 > 25 > 22
9,SimpleVAEGeneratorWrapper_top50,0,17,0.999528527,1,-0.385900778,0.176470588,0.436779148,0,-0.999150515,1111,14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14 > 14,37 > 01 > 02 > 03 > 04 > 05 > 12 > 05 > 12 > 05 > 06 > 08 > 07 > 09 > 10 > 11 > 12 > 13 > 14 > 13 > 14 > 13 > 14 > 13 > 15 > 16 > 14 > 17 > 26 > 22 > 27 > 28 > 27 > 16 > 28 > 17 > 24 > 25 > 22
