,run,instance.duration,instance.duration_s,instance.no,iteration.mean_num_zeros,iteration.mean_num_zeros_not_adjusted,iteration.mean_sparcity,iteration.mean_similarity,iteration.mean_feasibility,iteration.mean_delta,iteration.mean_viability,iteration.min_sparcity,iteration.min_similarity,iteration.min_feasibility,iteration.min_delta,iteration.min_viability,iteration.max_sparcity,iteration.max_similarity,iteration.max_feasibility,iteration.max_delta,iteration.max_viability,iteration.median_sparcity,iteration.median_similarity,iteration.median_feasibility,iteration.median_delta,iteration.median_viability,iteration.no,row.no,row.num_cycle,row.n_population,row.n_selection,row.n_offspring,row.n_mutated,row.n_survivors,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.operators.vocab_len,row.operators.sample_size,row.operators.evo.num_survivors,row.operators.initiator.type,row.operators.selector.type,row.operators.crosser.type,row.operators.crosser.crossover_rate,row.operators.mutator.type,row.operators.mutator.edit_rate,row.operators.mutator.p_delete,row.operators.mutator.p_insert,row.operators.mutator.p_change,row.operators.recombiner.type,row.operators.recombiner.recombination_rate,filename,wrapper_type,experiment_name
0,1,0:00:44.493522,44.49352240562439,1,0.4685364976627112,0.4685364976627112,0.5284238415306377,0.6383590502292739,0.0003360041674953,0.9671986537072264,2.134317549634633,0.4578754578754579,0.588769356400899,0.0,0.3333333432674408,2.053731176044286,1.0,1.0,0.008652107313004,0.9988371729850768,2.3419854505804447,0.5073260073260073,0.6194716756383363,0.0,0.998497486114502,2.1189785535877896,1,1,1,2,100,200,200,103,0.7329579134558387,0.2670420865441612,0.0,35,100,1000,FactualInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.4594075200626728,0.7660878631502495,0.3035457564266859,FittestSurvivorRecombiner,,EGW_ES_EGW_FI_RWS_UC_DDM_FSR_IM_num0.csv,EvoGeneratorWrapper,evolutionary_factual
1,1,0:00:44.493522,44.49352240562439,1,0.4928550597841936,0.4928550597841936,0.518538548066107,0.6351496793461893,0.000272507316945,0.9726347714427888,2.12659550617203,0.4441391941391941,0.588769356400899,0.0,0.3333333432674408,2.053731176044286,1.0,1.0,0.008652107313004,0.9988371729850768,2.3419854505804447,0.5,0.619246520882122,0.0,0.9985630810260772,2.111211470723447,2,1,2,103,100,200,200,254,0.4442874444893016,0.1600726685506661,0.3956398869600322,35,100,1000,FactualInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.4594075200626728,0.7660878631502495,0.3035457564266859,FittestSurvivorRecombiner,,EGW_ES_EGW_FI_RWS_UC_DDM_FSR_IM_num0.csv,EvoGeneratorWrapper,evolutionary_factual
2,1,0:00:44.493522,44.49352240562439,1,0.4931854931854931,0.4931854931854932,0.5217095794018871,0.6367153980911276,0.0002878039854637,0.9724321671434352,2.1311449486219134,0.4441391941391941,0.588769356400899,0.0,0.3333333432674408,2.053731176044286,1.0,1.0,0.008652107313004,0.9988371729850768,2.3419854505804447,0.5018315018315018,0.6200656301641511,0.0,0.9985712170600892,2.1157486459759105,3,1,3,254,100,200,200,481,0.4298973143759874,0.1492890995260663,0.4208135860979463,35,100,1000,FactualInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.4594075200626728,0.7660878631502495,0.3035457564266859,FittestSurvivorRecombiner,,EGW_ES_EGW_FI_RWS_UC_DDM_FSR_IM_num0.csv,EvoGeneratorWrapper,evolutionary_factual
3,1,0:00:44.493522,44.49352240562439,1,0.4940226462759958,0.4940226462759958,0.5286414762663241,0.641839077319427,0.0003372319537346,0.969987918122532,2.1408057036620174,0.4441391941391941,0.588769356400899,0.0,0.3333333432674408,2.053731176044286,1.0,1.0,0.008652107313004,0.9988371729850768,2.3419854505804447,0.5064102564102564,0.6246753046921544,0.0,0.9985712170600892,2.1231906806952083,4,1,4,481,100,200,200,821,0.4441568783595461,0.1604618753732829,0.395381246267171,35,100,1000,FactualInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.4594075200626728,0.7660878631502495,0.3035457564266859,FittestSurvivorRecombiner,,EGW_ES_EGW_FI_RWS_UC_DDM_FSR_IM_num0.csv,EvoGeneratorWrapper,evolutionary_factual
4,1,0:00:44.493522,44.49352240562439,1,0.4886666666666666,0.4886666666666667,0.554429487179487,0.660904067742888,0.0005537348680322,0.9554054384827614,2.171292728273169,0.4798534798534798,0.6101827878111734,0.0,0.3333333432674408,2.1157486459759105,1.0,1.0,0.008652107313004,0.9988371729850768,2.3419854505804447,0.5233516483516483,0.636500679707388,0.0,0.9984560012817384,2.15665280366834,5,1,5,821,100,200,200,1000,0.4369764658954926,0.158157159952134,0.4048663741523733,35,100,1000,FactualInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.4594075200626728,0.7660878631502495,0.3035457564266859,FittestSurvivorRecombiner,,EGW_ES_EGW_FI_RWS_UC_DDM_FSR_IM_num0.csv,EvoGeneratorWrapper,evolutionary_factual
5,1,0:00:44.493522,44.49352240562439,1,0.4458888888888889,0.4458888888888889,0.602,0.694477116596267,0.0011074697360645,0.912647289633751,2.210231875966083,0.5,0.6280322351272856,0.0,0.3333333432674408,2.15665280366834,1.0,1.0,0.008652107313004,0.9988299012184144,2.3419854505804447,0.5448717948717949,0.6516953397738932,0.0,0.9981341361999512,2.197678239455419,6,1,6,1000,100,200,200,1000,0.4368452263293141,0.1494366475588061,0.4137181261118798,35,100,1000,FactualInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.4594075200626728,0.7660878631502495,0.3035457564266859,FittestSurvivorRecombiner,,EGW_ES_EGW_FI_RWS_UC_DDM_FSR_IM_num0.csv,EvoGeneratorWrapper,evolutionary_factual
6,1,0:00:44.493522,44.49352240562439,1,0.3741481481481482,0.3741481481481482,0.6709597069597069,0.7475430177349625,0.002214939472129,0.8275369013547897,2.248254565521588,0.5137362637362637,0.6454240167894796,0.0,0.3333333432674408,2.197678239455419,1.0,1.0,0.008652107313004,0.9988290667533876,2.3419854505804447,0.5586080586080586,0.6631085580063584,0.0,0.9978687167167664,2.2182446907879534,7,1,7,1000,100,200,200,1000,0.4562230879639122,0.1615747385687923,0.3822021734672954,35,100,1000,FactualInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.4594075200626728,0.7660878631502495,0.3035457564266859,FittestSurvivorRecombiner,,EGW_ES_EGW_FI_RWS_UC_DDM_FSR_IM_num0.csv,EvoGeneratorWrapper,evolutionary_factual
7,1,0:00:44.493522,44.49352240562439,1,0.2485925925925926,0.2485925925925926,0.7900796703296703,0.8373046885756171,0.004429878944258,0.6578591405153275,2.2896733783648733,0.5357142857142857,0.6516953397738932,0.0,0.3333333432674408,2.2182446907879534,1.0,1.0,0.008652107313004,0.9988290667533876,2.3419854505804447,1.0,1.0,0.008652107313004,0.3333333432674408,2.3419854505804447,8,1,8,1000,100,200,200,1000,0.4785606550312433,0.1728075845722904,0.3486317603964662,35,100,1000,FactualInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.4594075200626728,0.7660878631502495,0.3035457564266859,FittestSurvivorRecombiner,,EGW_ES_EGW_FI_RWS_UC_DDM_FSR_IM_num0.csv,EvoGeneratorWrapper,evolutionary_factual
8,1,0:00:44.493522,44.49352240562439,1,0.0003703703703703,0.0003703703703703,0.9998076923076924,0.9998590920312108,0.008643455205691,0.3339962331950664,2.3423064727396605,0.8076923076923077,0.8590920312108924,0.0,0.3333333432674408,2.3419854505804447,1.0,1.0,0.008652107313004,0.9962232708930968,2.663007609796297,1.0,1.0,0.008652107313004,0.3333333432674408,2.3419854505804447,9,1,9,1000,100,200,200,1000,0.5777355803465464,0.1972466176121528,0.2250178020413007,35,100,1000,FactualInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.4594075200626728,0.7660878631502495,0.3035457564266859,FittestSurvivorRecombiner,,EGW_ES_EGW_FI_RWS_UC_DDM_FSR_IM_num0.csv,EvoGeneratorWrapper,evolutionary_factual
9,1,0:00:44.493522,44.49352240562439,1,0.0018518518518518,0.0018518518518518,0.9990576923076924,0.9993277598361124,0.008617498883752,0.3359883078336715,2.342991258861228,0.7115384615384616,0.8003279228204168,0.0,0.3333333432674408,2.3419854505804447,1.0,1.0,0.008652107313004,0.9984390139579772,2.663007609796297,1.0,1.0,0.008652107313004,0.3333333432674408,2.3419854505804447,10,1,10,1000,100,200,200,1000,0.7163271511097598,0.2836728488902402,0.0,35,100,1000,FactualInitiator,RouletteWheelSelector,UniformCrosser,0.5,DataDistributionMutator,,0.4594075200626728,0.7660878631502495,0.3035457564266859,FittestSurvivorRecombiner,,EGW_ES_EGW_FI_RWS_UC_DDM_FSR_IM_num0.csv,EvoGeneratorWrapper,evolutionary_factual
