,trace,input_x_seq_len,pred_y,true_y,is_correct
0,0,4,4,4,True
1,1,6,8,8,True
2,2,6,4,4,True
3,3,5,4,4,True
4,4,6,4,4,True
5,5,5,4,4,True
6,6,4,4,4,True
7,7,6,4,4,True
8,8,6,4,4,True
9,9,6,4,4,True
10,10,6,4,4,True
11,11,6,4,4,True
12,12,16,4,4,True
13,13,8,4,4,True
14,14,6,4,4,True
15,15,5,4,4,True
16,16,5,4,4,True
17,17,6,4,4,True
18,18,5,4,4,True
19,19,5,4,4,True
20,20,5,4,4,True
21,21,6,4,4,True
22,22,4,4,4,True
23,23,8,4,4,True
24,24,6,4,4,True
25,25,5,4,4,True
26,26,5,4,4,True
27,27,5,4,4,True
28,28,5,4,4,True
29,29,4,4,4,True
30,30,5,4,4,True
31,31,6,4,4,True
32,32,6,4,4,True
33,33,5,4,4,True
34,34,5,4,4,True
35,35,5,4,4,True
36,36,5,4,4,True
37,37,6,4,4,True
38,38,5,4,4,True
39,39,8,4,4,True
40,40,5,4,4,True
41,41,6,4,4,True
42,42,6,4,4,True
43,43,3,10,8,False
44,44,6,4,4,True
45,45,5,4,4,True
46,46,5,4,4,True
47,47,5,4,4,True
48,48,5,4,4,True
49,49,6,4,4,True
50,50,9,4,4,True
51,51,4,4,4,True
52,52,4,4,4,True
53,53,5,4,4,True
54,54,1,9,9,True
55,55,7,4,4,True
56,56,5,4,4,True
57,57,5,4,4,True
58,58,5,4,4,True
59,59,5,4,4,True
60,60,4,4,4,True
61,61,5,4,4,True
62,62,5,4,4,True
63,63,4,4,4,True
64,64,5,4,4,True
65,65,6,4,4,True
66,66,5,4,4,True
67,67,6,4,4,True
68,68,3,8,8,True
69,69,6,4,4,True
70,70,5,4,4,True
71,71,3,10,8,False
72,72,3,10,8,False
73,73,4,10,8,False
74,74,9,4,4,True
75,75,4,4,4,True
76,76,4,4,4,True
77,77,9,4,4,True
78,78,4,4,4,True
79,79,5,4,4,True
80,80,5,4,4,True
81,81,5,4,4,True
82,82,6,4,4,True
83,83,8,4,4,True
84,84,5,4,4,True
85,85,4,4,4,True
86,86,6,4,4,True
87,87,6,4,4,True
88,88,6,4,4,True
89,89,5,4,4,True
90,90,4,4,4,True
91,91,5,4,4,True
92,92,5,4,4,True
93,93,5,4,4,True
94,94,5,4,4,True
