,trace,full_seq_len,input_x_seq_len,true_y_seq_len,pred_y_seq_len,acc,recall,precision,f1,levenshtein,damerau_levenshtein,local_alignment,global_alignment,emph_start,longest_subsequence,longest_substring,overlap,entropy,input,true_encoded,pred_encoded,true_encoded_with_padding,pred_encoded_with_padding,true_decoded,pred_decoded
0,0,13,7,6,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9,0.8333333333333334,0.6666666666666667,0.8333333333333334,0.953509509058145,019 | 019-001 | 019-001-005 | 019-001-005-002 | 019-001-005-002-003 | 019-001-005-002-003-004 | 019-001-005-002-003-004-020,001 -> 005 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 005 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_PRE_APPROVER -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1,1,11,6,5,5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.88,0.8,0.6,0.8,0.9397940008672037,019 | 019-001 | 019-001-002 | 019-001-002-003 | 019-001-002-003-004 | 019-001-002-003-004-020,001 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 003 -> 004 -> 020,001 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 003 -> 004 -> 020,DECSUBMITTED_EMPLOYEE -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> Request_Payment -> Payment_Handled -> <E>
2,2,13,7,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003 | 019-001-011-002-003-004 | 019-001-011-002-003-004-020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
3,3,13,7,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003 | 019-001-011-002-003-004 | 019-001-011-002-003-004-020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
4,4,19,10,9,9,0.7777777777777778,0.7777777777777778,1.0,0.8518518518518517,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8238095238095238,0.7777777777777778,0.6666666666666667,0.7777777777777778,0.9086638291988122,019 | 019-001 | 019-001-014 | 019-001-014-008 | 019-001-014-008-001 | 019-001-014-008-001-011 | 019-001-014-008-001-011-002 | 019-001-014-008-001-011-002-003 | 019-001-014-008-001-011-002-003-004 | 019-001-014-008-001-011-002-003-004-020,001 -> 014 -> 008 -> 001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 003 -> 001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 014 -> 008 -> 001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 003 -> 001 -> 011 -> 002 -> 003 -> 004 -> 020,DECSUBMITTED_EMPLOYEE -> DECREJECTED_ADMINISTRATION -> DECREJECTED_EMPLOYEE -> DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> Request_Payment -> DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
5,5,11,6,5,5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.88,0.8,0.6,0.8,0.9397940008672037,019 | 019-001 | 019-001-002 | 019-001-002-003 | 019-001-002-003-004 | 019-001-002-003-004-020,001 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 003 -> 004 -> 020,001 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 003 -> 004 -> 020,DECSUBMITTED_EMPLOYEE -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> Request_Payment -> Payment_Handled -> <E>
6,6,13,7,6,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9,0.8333333333333334,0.6666666666666667,0.8333333333333334,0.953509509058145,019 | 019-001 | 019-001-005 | 019-001-005-002 | 019-001-005-002-003 | 019-001-005-002-003-004 | 019-001-005-002-003-004-020,001 -> 005 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 005 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_PRE_APPROVER -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
7,7,13,7,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003 | 019-001-011-002-003-004 | 019-001-011-002-003-004-020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
8,8,13,7,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003 | 019-001-011-002-003-004 | 019-001-011-002-003-004-020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
9,9,13,7,6,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003 | 019-001-011-002-003-004 | 019-001-011-002-003-004-020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECSUBMITTED_EMPLOYEE -> DECAPPROVED_ADMINISTRATION -> DECFINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
