,trace,full_seq_len,input_x_seq_len,true_y_seq_len,pred_y_seq_len,acc,recall,precision,f1,levenshtein,damerau_levenshtein,local_alignment,global_alignment,emph_start,longest_subsequence,longest_substring,overlap,entropy,input,true_encoded,pred_encoded,true_encoded_with_padding,pred_encoded_with_padding,true_decoded,pred_decoded
0,0,5,5,5,5,1.0,1.0,1.0,1.0,0.23809523809523814,0.23809523809523814,1.0,0.23809523809523808,0.0,0.23809523809523814,0.23809523809523814,1.0,0.46355324161334643,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled
1,1,6,6,6,6,1.0,1.0,1.0,1.0,0.30000000000000004,0.30000000000000004,1.0,0.3,0.40555555555555567,0.30000000000000004,0.30000000000000004,1.0,0.4707211667838803,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003,004 -> 004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004 -> 004,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled
2,2,4,4,4,4,1.0,1.0,1.0,1.0,0.18181818181818177,0.18181818181818177,1.0,0.18181818181818182,0.0,0.18181818181818177,0.18181818181818177,1.0,0.4712165581413368,019 | 019-001 | 019-001-002 | 019-001-002-003,004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled
3,3,7,7,7,7,1.0,1.0,1.0,1.0,0.368421052631579,0.368421052631579,1.0,0.3684210526315789,0.5288220551378445,0.368421052631579,0.368421052631579,1.0,0.48922700111355555,019 | 019-001 | 019-001-002 | 019-001-002-006 | 019-001-002-006-001 | 019-001-002-006-001-002 | 019-001-002-006-001-002-003,004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled
4,4,5,5,5,5,1.0,1.0,1.0,1.0,0.23809523809523814,0.23809523809523814,1.0,0.23809523809523808,0.0,0.23809523809523814,0.23809523809523814,1.0,0.46355324161334643,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled
5,5,5,5,5,5,1.0,1.0,1.0,1.0,0.23809523809523814,0.23809523809523814,1.0,0.23809523809523808,0.0,0.23809523809523814,0.23809523809523814,1.0,0.46355324161334643,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled
6,6,5,5,5,5,1.0,1.0,1.0,1.0,0.23809523809523814,0.23809523809523814,1.0,0.23809523809523808,0.0,0.23809523809523814,0.23809523809523814,1.0,0.46355324161334643,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled
7,7,5,5,5,5,1.0,1.0,1.0,1.0,0.23809523809523814,0.23809523809523814,1.0,0.23809523809523808,0.0,0.23809523809523814,0.23809523809523814,1.0,0.46355324161334643,019 | 019-001 | 019-001-005 | 019-001-005-002 | 019-001-005-002-003,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled
8,8,5,5,5,5,1.0,1.0,1.0,1.0,0.23809523809523814,0.23809523809523814,1.0,0.23809523809523808,0.0,0.23809523809523814,0.23809523809523814,1.0,0.46355324161334643,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled
9,9,5,5,5,5,1.0,1.0,1.0,1.0,0.23809523809523814,0.23809523809523814,1.0,0.23809523809523808,0.0,0.23809523809523814,0.23809523809523814,1.0,0.46355324161334643,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled
10,10,9,9,9,9,1.0,1.0,1.0,1.0,0.5294117647058824,0.5294117647058824,1.0,0.5294117647058824,0.7864923747276689,0.5294117647058824,0.5294117647058824,1.0,0.554197494347054,019 | 019-001 | 019-001-014 | 019-001-014-008 | 019-001-014-008-001 | 019-001-014-008-001-011 | 019-001-014-008-001-011-012 | 019-001-014-008-001-011-012-002 | 019-001-014-008-001-011-012-002-003,004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004 -> 004,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled
11,11,5,5,5,5,1.0,1.0,1.0,1.0,0.23809523809523814,0.23809523809523814,1.0,0.23809523809523808,0.0,0.23809523809523814,0.23809523809523814,1.0,0.46355324161334643,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled
12,12,5,5,5,5,1.0,1.0,1.0,1.0,0.23809523809523814,0.23809523809523814,1.0,0.23809523809523808,0.0,0.23809523809523814,0.23809523809523814,1.0,0.46355324161334643,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,004 -> 004 -> 004 -> 004 -> 004,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled,Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled -> Payment_Handled
