,trace,input_x_seq_len,true_x,true_y,pred_y,is_correct
0,0,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
1,1,3,019 -> 001 -> 014,8,8,True
2,2,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
3,3,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
4,4,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
5,5,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
6,6,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
7,7,4,019 -> 001 -> 002 -> 003,4,4,True
8,8,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
9,9,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
10,10,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
11,11,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
12,12,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
13,13,4,019 -> 001 -> 002 -> 003,4,4,True
14,14,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
15,15,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
16,16,11,019 -> 001 -> 014 -> 008 -> 001 -> 014 -> 008 -> 001 -> 011 -> 002 -> 003,4,4,True
17,17,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
18,18,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
19,19,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
20,20,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
21,21,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
22,22,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
23,23,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
24,24,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
25,25,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
26,26,4,019 -> 001 -> 002 -> 003,4,4,True
27,27,4,019 -> 001 -> 002 -> 003,4,4,True
28,28,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
29,29,4,019 -> 001 -> 002 -> 003,4,4,True
30,30,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
31,31,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
32,32,3,019 -> 001 -> 014,8,8,True
33,33,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
34,34,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
35,35,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
36,36,4,019 -> 001 -> 002 -> 003,4,4,True
37,37,8,019 -> 001 -> 014 -> 008 -> 001 -> 011 -> 002 -> 003,4,4,True
38,38,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
39,39,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
40,40,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
41,41,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
42,42,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
43,43,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
44,44,8,019 -> 001 -> 014 -> 008 -> 001 -> 011 -> 002 -> 003,4,4,True
45,45,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
46,46,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
47,47,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
48,48,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
49,49,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
50,50,7,019 -> 001 -> 002 -> 006 -> 001 -> 002 -> 003,4,4,True
51,51,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
52,52,4,019 -> 001 -> 002 -> 003,4,4,True
53,53,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
54,54,4,019 -> 001 -> 011 -> 010,8,8,True
55,55,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
56,56,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
57,57,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
58,58,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
59,59,4,019 -> 001 -> 002 -> 003,4,4,True
60,60,3,019 -> 001 -> 014,8,8,True
61,61,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
62,62,8,019 -> 001 -> 014 -> 008 -> 001 -> 011 -> 002 -> 003,4,4,True
63,63,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
64,64,10,019 -> 001 -> 011 -> 016 -> 008 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
65,65,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
66,66,4,019 -> 001 -> 002 -> 003,4,4,True
67,67,4,019 -> 001 -> 002 -> 003,4,4,True
68,68,4,019 -> 001 -> 002 -> 003,4,4,True
69,69,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
70,70,4,019 -> 001 -> 002 -> 003,4,4,True
71,71,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
72,72,3,019 -> 001 -> 014,8,8,True
73,73,4,019 -> 001 -> 002 -> 003,4,4,True
74,74,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
75,75,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
76,76,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
77,77,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
78,78,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
79,79,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
80,80,4,019 -> 001 -> 002 -> 003,4,4,True
81,81,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
82,82,4,019 -> 001 -> 002 -> 003,4,4,True
83,83,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
