,trace,input_x_seq_len,pred_y,true_y,is_correct
0,0,1,1,1,True
1,1,5,4,4,True
2,2,3,3,3,True
3,3,1,1,1,True
4,4,2,11,11,True
5,5,6,20,20,True
6,6,1,1,1,True
7,7,4,1,2,False
8,8,4,4,4,True
9,9,1,1,1,True
10,10,2,11,14,False
11,11,1,1,1,True
12,12,7,20,20,True
13,13,5,20,20,True
14,14,4,1,2,False
15,15,4,1,2,False
16,16,5,3,3,True
17,17,4,4,4,True
18,18,6,4,4,True
19,19,2,11,11,True
20,20,1,1,1,True
21,21,6,20,20,True
22,22,5,3,3,True
23,23,6,20,20,True
24,24,1,1,1,True
25,25,3,12,2,False
26,26,1,1,1,True
27,27,6,20,20,True
28,28,5,4,4,True
29,29,2,11,11,True
30,30,3,3,3,True
31,31,2,11,2,False
32,32,2,11,2,False
33,33,4,1,2,False
34,34,6,4,4,True
35,35,6,4,4,True
36,36,5,4,4,True
37,37,5,20,20,True
38,38,2,11,11,True
39,39,7,20,20,True
40,40,2,11,2,False
41,41,5,4,4,True
42,42,7,20,20,True
43,43,2,11,14,False
44,44,2,11,11,True
45,45,4,3,3,True
46,46,4,3,3,True
47,47,5,3,3,True
48,48,4,1,2,False
49,49,7,20,20,True
50,50,3,12,12,True
51,51,6,12,2,False
52,52,4,1,2,False
53,53,4,1,1,True
54,54,4,4,4,True
55,55,1,1,1,True
56,56,7,20,20,True
57,57,2,11,11,True
58,58,8,4,4,True
59,59,6,20,20,True
60,60,3,1,8,False
61,61,7,20,20,True
62,62,5,4,4,True
63,63,5,3,3,True
64,64,5,4,4,True
65,65,4,1,2,False
66,66,5,4,4,True
67,67,4,3,3,True
68,68,2,11,11,True
69,69,2,11,2,False
70,70,6,12,2,False
71,71,3,3,3,True
72,72,2,11,11,True
73,73,4,4,4,True
74,74,2,11,11,True
75,75,7,20,20,True
76,76,3,12,12,True
77,77,4,4,4,True
78,78,4,1,2,False
79,79,6,20,20,True
80,80,6,4,4,True
81,81,4,3,3,True
82,82,7,11,11,True
83,83,4,1,2,False
84,84,3,12,2,False
85,85,4,4,4,True
86,86,1,1,1,True
87,87,1,1,1,True
88,88,4,4,4,True
89,89,3,12,2,False
90,90,3,1,8,False
91,91,1,1,1,True
92,92,2,11,11,True
93,93,5,4,4,True
94,94,1,1,1,True
95,95,2,11,2,False
96,96,4,3,3,True
97,97,7,20,20,True
98,98,1,1,1,True
99,99,4,3,3,True
100,100,6,20,20,True
101,101,5,1,8,False
102,102,3,12,2,False
103,103,4,3,3,True
104,104,4,4,4,True
105,105,5,4,4,True
106,106,2,11,11,True
107,107,1,1,1,True
108,108,5,4,4,True
109,109,4,3,3,True
110,110,4,3,3,True
111,111,4,3,3,True
112,112,4,3,3,True
113,113,4,1,2,False
114,114,3,12,2,False
115,115,6,20,20,True
116,116,1,1,1,True
117,117,1,1,1,True
118,118,1,1,1,True
119,119,5,11,11,True
120,120,2,11,11,True
121,121,1,1,1,True
122,122,6,4,4,True
123,123,7,20,20,True
124,124,4,4,4,True
125,125,3,1,8,False
126,126,5,4,4,True
127,127,1,1,1,True
128,128,4,1,2,False
129,129,4,1,1,True
130,130,2,11,11,True
131,131,2,11,11,True
132,132,1,1,1,True
133,133,4,3,3,True
134,134,9,4,4,True
135,135,6,4,4,True
136,136,5,3,3,True
137,137,3,12,2,False
138,138,3,12,12,True
139,139,2,11,11,True
140,140,3,3,3,True
141,141,8,3,3,True
142,142,4,1,2,False
143,143,5,4,4,True
144,144,5,3,3,True
145,145,6,20,20,True
146,146,5,20,20,True
147,147,1,1,1,True
148,148,4,1,2,False
149,149,7,12,2,False
150,150,6,20,20,True
151,151,4,1,2,False
152,152,4,1,1,True
153,153,4,3,3,True
154,154,3,1,8,False
155,155,6,1,8,False
156,156,4,3,3,True
157,157,8,3,3,True
158,158,3,1,2,False
159,159,1,1,1,True
160,160,7,20,20,True
161,161,4,1,1,True
162,162,8,3,3,True
163,163,6,4,4,True
164,164,4,1,1,True
165,165,6,20,20,True
166,166,4,4,4,True
167,167,2,11,2,False
168,168,7,20,20,True
169,169,5,11,11,True
170,170,2,11,2,False
171,171,5,3,3,True
172,172,3,1,8,False
173,173,1,1,1,True
174,174,5,4,4,True
175,175,2,11,2,False
176,176,6,20,20,True
177,177,5,4,4,True
178,178,13,4,4,True
179,179,6,20,20,True
180,180,6,4,4,True
181,181,1,1,1,True
182,182,1,1,1,True
183,183,6,20,20,True
184,184,7,3,3,True
185,185,3,12,2,False
186,186,5,4,4,True
187,187,1,1,1,True
188,188,3,1,2,False
189,189,4,4,4,True
190,190,2,11,11,True
191,191,6,20,20,True
192,192,2,11,5,False
193,193,6,20,20,True
194,194,5,4,4,True
195,195,3,12,12,True
196,196,2,11,11,True
197,197,1,1,1,True
198,198,2,11,11,True
199,199,4,3,3,True
200,200,4,3,3,True
201,201,5,4,4,True
202,202,2,11,11,True
203,203,2,11,11,True
204,204,5,4,4,True
205,205,5,4,4,True
206,206,5,4,4,True
207,207,2,11,11,True
208,208,4,1,2,False
209,209,4,4,4,True
210,210,6,20,20,True
211,211,4,3,3,True
212,212,3,12,10,False
213,213,3,12,10,False
214,214,5,3,3,True
215,215,5,4,4,True
216,216,2,11,11,True
217,217,1,1,1,True
218,218,3,12,2,False
219,219,4,4,4,True
220,220,8,11,11,True
221,221,5,3,3,True
222,222,6,20,20,True
223,223,4,3,3,True
224,224,9,20,20,True
225,225,3,12,2,False
226,226,5,4,4,True
227,227,3,12,2,False
228,228,2,11,2,False
229,229,5,3,3,True
230,230,7,20,20,True
231,231,3,12,2,False
232,232,4,3,3,True
233,233,5,3,3,True
234,234,4,1,10,False
235,235,6,20,20,True
236,236,4,1,2,False
237,237,2,11,11,True
238,238,1,1,1,True
239,239,3,12,2,False
240,240,3,12,2,False
241,241,3,12,12,True
242,242,1,1,9,False
243,243,1,1,1,True
244,244,10,1,2,False
245,245,7,20,20,True
246,246,6,20,20,True
247,247,2,11,11,True
248,248,3,12,2,False
249,249,4,3,3,True
250,250,1,1,1,True
251,251,6,20,20,True
252,252,3,12,2,False
253,253,2,11,11,True
254,254,2,11,11,True
255,255,2,11,11,True
256,256,2,11,11,True
257,257,6,20,20,True
258,258,1,1,1,True
259,259,4,1,2,False
260,260,3,12,12,True
261,261,2,11,11,True
262,262,1,1,1,True
263,263,5,20,20,True
264,264,6,11,11,True
265,265,4,4,4,True
266,266,1,1,1,True
267,267,6,20,20,True
268,268,1,1,1,True
269,269,6,20,20,True
270,270,4,1,2,False
271,271,6,20,20,True
272,272,2,11,11,True
273,273,1,1,1,True
274,274,5,3,3,True
275,275,3,1,8,False
276,276,8,11,5,False
277,277,4,1,2,False
278,278,2,11,2,False
279,279,7,20,20,True
280,280,3,12,16,False
281,281,1,1,1,True
282,282,4,3,3,True
283,283,1,1,1,True
284,284,4,3,3,True
285,285,7,20,20,True
286,286,3,3,3,True
287,287,2,11,11,True
288,288,2,11,2,False
289,289,6,1,8,False
290,290,1,1,1,True
291,291,4,3,3,True
292,292,6,20,20,True
293,293,1,1,1,True
294,294,4,3,3,True
295,295,8,4,4,True
296,296,3,12,2,False
297,297,4,4,4,True
298,298,6,20,20,True
299,299,3,12,2,False
300,300,3,12,12,True
301,301,4,1,2,False
302,302,6,4,4,True
303,303,2,11,11,True
304,304,9,20,20,True
305,305,7,11,11,True
306,306,2,11,11,True
307,307,6,4,4,True
308,308,9,20,20,True
309,309,2,11,11,True
310,310,7,20,20,True
311,311,5,4,4,True
312,312,1,1,1,True
313,313,8,11,11,True
314,314,4,3,3,True
315,315,3,1,8,False
316,316,3,12,12,True
317,317,5,3,3,True
318,318,2,11,14,False
319,319,5,4,4,True
320,320,2,11,11,True
321,321,4,3,3,True
322,322,6,20,20,True
323,323,6,1,1,True
324,324,5,3,3,True
325,325,3,12,2,False
326,326,2,11,11,True
327,327,9,3,3,True
328,328,5,3,3,True
329,329,7,20,20,True
330,330,4,3,3,True
331,331,4,1,2,False
332,332,1,1,1,True
333,333,3,12,2,False
334,334,2,11,11,True
335,335,3,12,2,False
336,336,4,1,2,False
337,337,6,20,20,True
338,338,2,11,14,False
339,339,1,1,1,True
340,340,3,12,12,True
341,341,2,11,11,True
342,342,5,3,3,True
343,343,5,4,4,True
344,344,4,4,4,True
345,345,3,12,12,True
346,346,1,1,1,True
347,347,6,4,4,True
348,348,2,11,11,True
349,349,2,11,11,True
350,350,5,4,4,True
351,351,1,1,1,True
352,352,3,12,2,False
353,353,2,11,11,True
354,354,6,4,4,True
355,355,2,20,20,True
356,356,7,12,12,True
357,357,5,20,20,True
358,358,4,4,4,True
359,359,3,12,2,False
360,360,3,3,3,True
361,361,6,20,20,True
362,362,6,4,4,True
363,363,1,1,1,True
364,364,2,11,11,True
365,365,6,20,20,True
366,366,2,11,11,True
367,367,1,1,1,True
368,368,4,1,1,True
369,369,5,11,5,False
370,370,4,1,2,False
371,371,5,4,4,True
372,372,6,20,20,True
373,373,4,1,1,True
374,374,2,11,11,True
375,375,1,1,9,False
376,376,1,1,1,True
377,377,4,3,3,True
378,378,4,1,1,True
379,379,2,11,11,True
380,380,6,4,4,True
381,381,1,1,1,True
382,382,2,11,11,True
383,383,2,11,2,False
384,384,10,1,2,False
385,385,3,12,2,False
386,386,3,12,12,True
387,387,3,12,2,False
388,388,3,12,2,False
389,389,6,20,20,True
390,390,3,1,8,False
391,391,7,20,20,True
392,392,5,4,4,True
393,393,3,1,8,False
394,394,5,4,4,True
395,395,1,1,1,True
396,396,2,11,7,False
397,397,9,20,20,True
398,398,3,12,12,True
399,399,5,20,20,True
400,400,1,1,1,True
401,401,5,20,20,True
402,402,6,4,4,True
403,403,6,1,8,False
404,404,2,11,11,True
405,405,7,20,20,True
406,406,6,20,20,True
407,407,5,1,1,True
408,408,3,12,2,False
409,409,5,20,20,True
410,410,3,12,12,True
411,411,5,3,3,True
412,412,6,20,20,True
413,413,6,20,20,True
414,414,3,12,12,True
415,415,3,12,2,False
416,416,7,20,20,True
417,417,7,20,20,True
418,418,2,11,14,False
419,419,4,3,3,True
420,420,5,4,4,True
421,421,2,11,11,True
422,422,5,4,4,True
423,423,3,12,2,False
424,424,1,1,1,True
425,425,1,1,1,True
426,426,6,20,20,True
427,427,2,11,11,True
428,428,5,3,3,True
429,429,2,11,11,True
430,430,2,11,11,True
431,431,6,12,2,False
