,trace,input_x_seq_len,true_y_seq_len,pred_y_seq_len,acc,recall,precision,f1,levenshtein,damerau_levenshtein,local_alignment,global_alignment,emph_start,longest_subsequence,longest_substring,overlap,entropy,input,true_encoded,pred_encoded,true_decoded,pred_decoded
0,0,1,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.46666666666666656,0.4,0.19999999999999996,0.4,0.7216943824863249,019,001 -> 002 -> 003 -> 004 -> 020,002 -> 020 -> 020 -> 000 -> 000,DECL_SUBMITTED_EMPLOYEE -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_FINAL_APPROVED_SUPERVISOR -> <E> -> <E> -> <P> -> <P>
1,1,2,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.46666666666666656,0.4,0.19999999999999996,0.4,0.7216943824863249,019 | 019-001,011 -> 002 -> 003 -> 004 -> 020,002 -> 020 -> 020 -> 000 -> 000,DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_FINAL_APPROVED_SUPERVISOR -> <E> -> <E> -> <P> -> <P>
2,2,7,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333326,0.7180559570785201,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003 | 019-001-011-012-002-003-004,020 -> 000 -> 000,002 -> 020 -> 020,<E> -> <P> -> <P>,DECL_FINAL_APPROVED_SUPERVISOR -> <E> -> <E>
3,3,6,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333326,0.7180559570785201,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003 | 019-001-011-002-003-004,020 -> 000 -> 000,002 -> 020 -> 020,<E> -> <P> -> <P>,DECL_FINAL_APPROVED_SUPERVISOR -> <E> -> <E>
4,4,7,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333326,0.7180559570785201,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003 | 019-001-011-012-002-003-004,020 -> 000 -> 000,002 -> 020 -> 020,<E> -> <P> -> <P>,DECL_FINAL_APPROVED_SUPERVISOR -> <E> -> <E>
5,5,1,2,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.5555555555555555,0.33333333333333337,0.33333333333333337,0.33333333333333326,0.6618189176584932,019,009 -> 020 -> 000,002 -> 020 -> 020,DECL_SAVED_EMPLOYEE -> <E> -> <P>,DECL_FINAL_APPROVED_SUPERVISOR -> <E> -> <E>
6,6,2,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4444444444444444,0.33333333333333337,0.16666666666666663,0.33333333333333326,0.6745665634070153,019 | 019-001,011 -> 012 -> 002 -> 003 -> 004 -> 020,002 -> 020 -> 020 -> 000 -> 000 -> 000,DECL_APPROVED_ADMINISTRATION -> DECL_APPROVED_BUDGET_OWNER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_FINAL_APPROVED_SUPERVISOR -> <E> -> <E> -> <P> -> <P> -> <P>
7,7,4,4,3,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.6666666666666666,0.5,0.25,0.5,0.7814536459234779,019 | 019-001 | 019-001-011 | 019-001-011-012,002 -> 003 -> 004 -> 020,002 -> 020 -> 020 -> 000,DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_FINAL_APPROVED_SUPERVISOR -> <E> -> <E> -> <P>
8,8,5,2,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.5555555555555555,0.33333333333333337,0.33333333333333337,0.33333333333333326,0.6618189176584932,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003,004 -> 020 -> 000,002 -> 020 -> 020,Payment_Handled -> <E> -> <P>,DECL_FINAL_APPROVED_SUPERVISOR -> <E> -> <E>
9,9,3,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2857142857142857,0.1428571428571429,0.2857142857142857,0.6389485821931967,019 | 019-001 | 019-001-014,008 -> 001 -> 011 -> 002 -> 003 -> 004 -> 020,002 -> 020 -> 020 -> 000 -> 000 -> 000 -> 000,DECL_REJECTED_EMPLOYEE -> DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_FINAL_APPROVED_SUPERVISOR -> <E> -> <E> -> <P> -> <P> -> <P> -> <P>
