experiment,reader,max_len,virtual_max_len,model_name,rank,likelihood,viability,sparcity,similarity,feasibility,delta,cf_num_zeros,result_outcome,source_outcome,target_outcome,cf,fa,run.duration_sec,run.mask,run.short_name,run.full_name,run.no,wrapper.type,wrapper.max_len,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,viab.data_distribution,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.no,iteration.no,row.no,gen.max_iter,gen.num_survivors,gen.sample_size,gen.evo.num_survivors,gen.initiator.type,gen.selector.type,gen.crosser.type,gen.crosser.crossover_rate,gen.mutator.type,gen.mutator.edit_rate,gen.mutator.p_delete,gen.mutator.p_insert,gen.mutator.p_change,gen.mutator.p_transp,gen.recombiner.type,gen.recombiner.recombination_rate
1,OutcomeSepsisReader50,49,52,CaseBasedGenerator,50,0.44789278507232666,2.092104585061224,0.8716216216216216,0.8871496201718778,2.837774511728067e-13,0.3333333432674408,32,0,1,0,16 > 01 > 05 > 07 > 02 > 03 > 04 > 06 > 08 > 09 > 02 > 03 > 09 > 03 > 02 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,46.02793288230896,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,49,18,49,74,1,CaseBasedGenerator,5589,18,49,1111,ImprovementMeasure,1,1,1,,,,,,,,,,,,,,,,
1,OutcomeSepsisReader50,49,52,CaseBasedGenerator,49,0.44789278507232666,2.0923900626060425,0.8672578828828829,0.8917988364550321,6.867839896425068e-13,0.3333333432674408,36,0,1,0,16 > 01 > 05 > 06 > 08 > 03 > 04 > 02 > 09 > 02 > 03 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,46.02793288230896,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,49,18,49,74,1,CaseBasedGenerator,5589,18,49,1111,ImprovementMeasure,1,1,2,,,,,,,,,,,,,,,,
1,OutcomeSepsisReader50,49,52,CaseBasedGenerator,48,0.44789278507232666,2.0923900626060425,0.8672578828828829,0.8917988364550321,6.867839896425068e-13,0.3333333432674408,36,0,1,0,16 > 01 > 05 > 06 > 08 > 03 > 04 > 02 > 09 > 02 > 03 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,46.02793288230896,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,49,18,49,74,1,CaseBasedGenerator,5589,18,49,1111,ImprovementMeasure,1,1,3,,,,,,,,,,,,,,,,
1,OutcomeSepsisReader50,49,52,CaseBasedGenerator,47,0.44789278507232666,2.092512958364413,0.8726069819819819,0.8865726331148057,1.844398552915889e-13,0.3333333432674408,29,0,1,0,16 > 01 > 05 > 06 > 02 > 03 > 04 > 04 > 07 > 08 > 09 > 02 > 03 > 09 > 03 > 02 > 03 > 02 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,46.02793288230896,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,49,18,49,74,1,CaseBasedGenerator,5589,18,49,1111,ImprovementMeasure,1,1,4,,,,,,,,,,,,,,,,
1,OutcomeSepsisReader50,49,52,CaseBasedGenerator,46,0.46475571393966675,2.0927237833716754,0.8628941441441441,0.8852543533159712,2.1218671407723183e-16,0.34457528591156006,34,0,1,0,16 > 01 > 05 > 06 > 04 > 02 > 03 > 07 > 08 > 09 > 02 > 03 > 09 > 02 > 03,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,46.02793288230896,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,49,18,49,74,1,CaseBasedGenerator,5589,18,49,1111,ImprovementMeasure,1,1,5,,,,,,,,,,,,,,,,
1,OutcomeSepsisReader50,49,52,CaseBasedGenerator,45,0.46475571393966675,2.093072497295603,0.8609234234234234,0.8875737879606199,1.886828530029312e-20,0.34457528591156006,43,0,1,0,16 > 01 > 05 > 06 > 07 > 02,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,46.02793288230896,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,49,18,49,74,1,CaseBasedGenerator,5589,18,49,1111,ImprovementMeasure,1,1,6,,,,,,,,,,,,,,,,
1,OutcomeSepsisReader50,49,52,CaseBasedGenerator,44,0.46475571393966675,2.0948221656744255,0.8665540540540541,0.8836928257088115,1.8904764759134648e-17,0.34457528591156006,33,0,1,0,16 > 01 > 05 > 04 > 02 > 03 > 06 > 07 > 08 > 09 > 03 > 02 > 09 > 02 > 03 > 10,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,46.02793288230896,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,49,18,49,74,1,CaseBasedGenerator,5589,18,49,1111,ImprovementMeasure,1,1,7,,,,,,,,,,,,,,,,
1,OutcomeSepsisReader50,49,52,CaseBasedGenerator,43,0.46475571393966675,2.0952576392589655,0.8638795045045045,0.886802848842901,9.418374844678736e-17,0.34457528591156006,36,0,1,0,16 > 01 > 05 > 04 > 03 > 02 > 07 > 06 > 08 > 09 > 09 > 03 > 02,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,46.02793288230896,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,49,18,49,74,1,CaseBasedGenerator,5589,18,49,1111,ImprovementMeasure,1,1,8,,,,,,,,,,,,,,,,
1,OutcomeSepsisReader50,49,52,CaseBasedGenerator,42,0.44789278507232666,2.096015505378526,0.8747184684684685,0.8879636936422775,3.3958292632360725e-13,0.3333333432674408,33,0,1,0,16 > 01 > 05 > 06 > 03 > 02 > 04 > 07 > 08 > 09 > 02 > 03 > 02 > 03 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,46.02793288230896,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,49,18,49,74,1,CaseBasedGenerator,5589,18,49,1111,ImprovementMeasure,1,1,9,,,,,,,,,,,,,,,,
1,OutcomeSepsisReader50,49,52,CaseBasedGenerator,41,0.46475571393966675,2.0961724872126792,0.8592342342342343,0.8923629670668849,2.500022164514922e-22,0.34457528591156006,41,0,1,0,16 > 01 > 05 > 02 > 04 > 03 > 06 > 07,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,46.02793288230896,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,49,18,49,74,1,CaseBasedGenerator,5589,18,49,1111,ImprovementMeasure,1,1,10,,,,,,,,,,,,,,,,
