run,instance.duration,instance.duration_s,instance.no,iteration.mean_num_zeros,iteration.mean_num_zeros_not_adjusted,iteration.mean_sparcity,iteration.mean_similarity,iteration.mean_feasibility,iteration.mean_delta,iteration.mean_viability,iteration.min_sparcity,iteration.min_similarity,iteration.min_feasibility,iteration.min_delta,iteration.min_viability,iteration.max_sparcity,iteration.max_similarity,iteration.max_feasibility,iteration.max_delta,iteration.max_viability,iteration.median_sparcity,iteration.median_similarity,iteration.median_feasibility,iteration.median_delta,iteration.median_viability,iteration.no,row.no,row.num_cycle,row.n_population,row.n_offspring,row.n_mutated,row.n_survivors,row.n_candidates,row.mutsum.DELETE,row.mutsum.INSERT,row.mutsum.CHANGE,row.mutsum.TRANSP,row.mutsum.NONE
1,0:04:00.675781,240.67578053474426,1,0.2985925925925926,0.2985925925925926,0.4849468864468865,0.6335824139909677,0.012383557906221216,0.4519434782266617,1.5828563365707369,0.3360805860805861,0.532739547742752,0.0,0.3333304524421692,1.202151718753758,0.6135531135531136,0.727844966166985,0.23980462386792786,0.9988407492637634,2.193406405253886,0.483974358974359,0.6350177227675498,0.0,0.33334000408649445,1.508175383145756,1,1,1,500,1000,1000,500,1500,0.002462962962962963,0.0025277777777777777,0.0010185185185185184,0.003138888888888889,0.9908518518518519
1,0:04:00.675781,240.67578053474426,1,0.3094814814814815,0.30948148148148147,0.4760164835164835,0.6371742536929582,0.006121743081454778,0.4812249708771706,1.600537451168067,0.30494505494505497,0.5214170108622714,0.0,0.33333027362823486,1.2205837370752466,0.6043956043956045,0.734887720342254,0.23980462386792786,0.9988402724266052,2.208730529308112,0.4789377289377289,0.6386098062878494,0.0,0.3333461284637451,1.5041320494706234,2,1,2,500,1000,1000,500,1500,0.0023148148148148147,0.002472222222222222,0.0009907407407407408,0.0034814814814814817,0.9907407407407407
1,0:04:00.675781,240.67578053474426,1,0.32037037037037036,0.32037037037037036,0.46962454212454213,0.6369827332757309,0.002861205852075166,0.5155259485840797,1.6249944298364278,0.3141025641025641,0.5367536246923605,0.0,0.3333302438259125,1.2477360191831146,0.5915750915750916,0.7165743394564363,0.23365273179074497,0.9988401532173157,2.2407173888433976,0.4716117216117216,0.6398558561754953,0.0,0.3334078937768936,1.5029681200520066,3,1,3,500,1000,1000,500,1500,0.002212962962962963,0.002472222222222222,0.001037037037037037,0.003074074074074074,0.9912037037037037
1,0:04:00.675781,240.67578053474426,1,0.3197037037037037,0.3197037037037037,0.4587637362637363,0.6319813257548392,0.0011376914603140583,0.5569898146986961,1.6488725681775858,0.3058608058608059,0.5311122048785524,0.0,0.3333302438259125,1.17087958140328,0.5970695970695971,0.7134615262802508,0.21459534013884007,0.9988409876823425,2.2090900014746837,0.46153846153846156,0.6346302832042794,0.0,0.3335709124803543,1.5075461228889555,4,1,4,500,1000,1000,500,1500,0.0025185185185185185,0.002648148148148148,0.001324074074074074,0.0031574074074074074,0.9903518518518518
1,0:04:00.675781,240.67578053474426,1,0.3314074074074074,0.33140740740740743,0.4528571428571429,0.629430655786351,0.00016158990708855326,0.6196642956733703,1.702113684223953,0.3067765567765568,0.5367536246923605,0.0,0.3333302140235901,1.2291329148482348,0.5824175824175823,0.7096736076453158,0.04366977901312847,0.9988401532173157,2.2555187376706884,0.4551282051282052,0.6279245139762132,0.0,0.33764076232910156,1.5555763811228367,5,1,5,500,1000,1000,500,1500,0.0025833333333333333,0.002490740740740741,0.001,0.0027962962962962963,0.9911296296296296
1,0:04:00.675781,240.67578053474426,1,0.3253333333333333,0.3253333333333333,0.44028021978021986,0.6054670853097007,0.00015904555964750528,0.6687895486354828,1.714695899285051,0.24542124542124533,0.46715623819826746,0.0,0.3333302438259125,1.2187786635356521,0.5824175824175823,0.7096736076453158,0.04239760529260447,0.9988401532173157,2.2555187376706884,0.43864468864468864,0.6068234539539206,0.0,0.7094181180000305,1.6885386027349796,6,1,6,500,1000,1000,500,1500,0.0024074074074074076,0.0025462962962962965,0.0013796296296296295,0.0039722222222222225,0.9896944444444444
1,0:04:00.675781,240.67578053474426,1,0.3245185185185185,0.32451851851851854,0.4278406593406594,0.6111423607535044,0.0,0.7280717357993126,1.7670547558934764,0.20879120879120883,0.4774902341326511,0.0,0.3333302438259125,1.104365048731749,0.5705128205128205,0.7096736076453158,0.0,0.9988400936126709,2.2571325321022058,0.42582417582417587,0.6118138872005292,0.0,0.9860813319683075,1.90987911245353,7,1,7,500,1000,1000,500,1500,0.002416666666666667,0.003148148148148148,0.0012962962962962963,0.0033148148148148147,0.989824074074074
1,0:04:00.675781,240.67578053474426,1,0.3345185185185185,0.3345185185185185,0.4252509157509157,0.6074222445897696,0.0,0.769317076921463,1.8019902372621481,0.28846153846153844,0.5135733180204144,0.0,0.3333304524421692,1.1902117215580077,0.5714285714285715,0.6955954452652602,0.0,0.9988401532173157,2.2113717625148492,0.42490842490842495,0.609328649855349,0.0,0.9958918690681458,1.9456851984068502,8,1,8,500,1000,1000,500,1500,0.0028796296296296296,0.0025185185185185185,0.001175925925925926,0.0035555555555555557,0.9898703703703704
1,0:04:00.675781,240.67578053474426,1,0.3462962962962963,0.34629629629629627,0.42310439560439567,0.6066102910073683,0.0,0.7962794650197029,1.8259941516314668,0.31684981684981683,0.526082167950618,0.0,0.3333304524421692,1.1927625270516087,0.5521978021978022,0.6916655071368649,0.0,0.9988400936126709,2.222926948013295,0.4221611721611722,0.6060284135823764,0.0,0.9969090521335602,1.9585696669463264,9,1,9,500,1000,1000,500,1500,0.0023796296296296295,0.002361111111111111,0.0012407407407407408,0.0033888888888888888,0.9906296296296296
1,0:04:00.675781,240.67578053474426,1,0.3506666666666666,0.3506666666666667,0.42111721611721614,0.6082523598213907,0.0,0.8129899457097054,1.8423595216483122,0.293040293040293,0.5266926181415665,0.0,0.3333304524421692,1.1677279250537687,0.5375457875457875,0.685427635469093,0.0,0.9988401532173157,2.2115485807205917,0.41941391941391937,0.6087066119739817,0.0,0.9969617128372192,1.9618464487750091,10,1,10,500,1000,1000,500,1500,0.0026574074074074074,0.00225,0.0012222222222222222,0.003638888888888889,0.9902314814814814
